,Archipelago,Island1,Island2,beta_sor,beta_sim,beta_sne,mean_emerse_pres,mean_emerse_past,mean_island_age,Distance_km,diff_emerse_pres,diff_emerse_past,diff_island_age,d_past.y,diif_present_air,diff_past_air
336,Cape_Verde,Santiago,Sal,0.304904051,0.164102564,0.140801487,658.885,792.755,5.65,198.59,789.17,726.65,5.7,195.1995813,0.70476712,0.051633263
337,Cape_Verde,Santiago,Santa_Luzia,0.672268908,0.093023256,0.579245652,917.47,1044.01,3.125,222.13,272,224.14,0.65,219.8072985,1.07652055,0.001016617
338,Cape_Verde,Santo_Antao,Boa_Vista,0.364963504,0.121212121,0.243751382,926.145,1461.455,8.71,273.01,455.53,310.07,12.58,264.0089769,0.59679452,0.38824997
339,Cape_Verde,Santo_Antao,Brava,0.289617486,0.226190476,0.06342701,645.995,730.105,2.71,250.18,1015.83,1152.63,0.58,248.5857996,0.97841096,0.036155701
340,Cape_Verde,Santo_Antao,Fogo,0.28125,0.258064516,0.023185484,812.46,899.98,3.235,253.89,682.9,812.88,1.63,252.3733585,0.79512329,0.589649963
341,Cape_Verde,Santo_Antao,Maio,0.324074074,0.262626263,0.061447811,750.445,899.98,8.71,295.47,806.93,812.88,12.58,292.2182693,0.96920548,0.438266754
342,Cape_Verde,Santo_Antao,Saint_Nicholas,0.314814815,0.252525253,0.062289562,776.845,882.635,8.71,104.57,754.13,847.57,12.58,102.53809,0.36221918,0.29904995
343,Cape_Verde,Santo_Antao,Sal,0.538873995,0.131313131,0.407560863,709.105,867.925,5.46,236.19,889.61,876.99,6.08,232.4434604,0.37175343,0.35371666
344,Cape_Verde,Santo_Antao,Santa_Luzia,0.549295775,0.255813953,0.293481821,967.69,1119.18,2.935,54.88,372.44,374.48,1.03,52.20117758,0,0.303100014
345,Cape_Verde,Santo_Antao,Santiago,0.367346939,0.060606061,0.306740878,1103.69,1231.25,2.61,276.68,100.44,150.34,0.38,274.5816912,1.07652055,0.302083397
346,Cape_Verde,Sao_Vicente,Boa_Vista,0.226006192,0.155405405,0.070600787,769.165,1303.45,9.36,246.48,141.57,626.08,11.28,237.3019864,0.59679452,0.05031681
347,Cape_Verde,Sao_Vicente,Brava,0.405172414,0.178571429,0.226600985,489.015,572.1,3.36,222.73,701.87,836.62,0.72,220.9588091,0.97841096,0.402411079
348,Cape_Verde,Sao_Vicente,Fogo,0.377593361,0.193548387,0.184044974,655.48,741.975,3.885,222.73,368.94,496.87,0.33,221.036368,0.79512329,1.028216743
349,Cape_Verde,Sao_Vicente,Maio,0.267924528,0.170940171,0.096984357,593.465,741.975,9.36,264.29,492.97,496.87,11.28,260.8612787,0.96920548,0.000300026
350,Cape_Verde,Sao_Vicente,Saint_Nicholas,0.328301887,0.239316239,0.088985647,619.865,724.63,9.36,75.26,440.17,531.56,11.28,73.05109947,0.36221918,0.13951683
351,Cape_Verde,Sao_Vicente,Sal,0.36492891,0.094594595,0.270334315,552.125,709.92,6.11,216.02,575.65,560.98,4.78,212.0964699,0.37175343,0.08485012
352,Cape_Verde,Sao_Vicente,Santa_Luzia,0.591623037,0.093023256,0.498599781,810.71,961.175,3.585,25.78,58.48,58.47,0.27,22.92418707,0,0.135466766
353,Cape_Verde,Sao_Vicente,Santiago,0.236151603,0.114864865,0.121286739,946.71,1073.245,3.26,242.45,213.52,165.67,0.92,240.1747007,1.07652055,0.136483383
354,Cape_Verde,Sao_Vicente,Santo_Antao,0.352226721,0.191919192,0.160307529,996.93,1148.415,3.07,34.6,313.96,316.01,1.3,31.96857979,0,0.43856678
355,Cook_Islands,Aitutaki,Atiu,0.205128205,0.114285714,0.090842491,34.81,59.605,4.115,215.86,3.2,22.83,6.55,213.8445137,0.51241095,0.065627671
356,Cook_Islands,Aitutaki,Mangaia,0.378378378,0.258064516,0.120313862,40.835,53.19,9.62,393.12,15.25,10,17.56,392.0785031,1.6579452,0.218865395
357,Cook_Islands,Aitutaki,Mauke,0.730769231,0.222222222,0.508547009,30.77,48.26,2.74,294.98,4.88,0.14,3.8,293.3954878,0.52131506,0.059621239
358,Cook_Islands,Aitutaki,Mitiaro,0.5,0.117647059,0.382352941,22.445,54.79,6.57,242.8,21.53,13.2,11.46,239.6424196,0.52131506,0.007074547
359,Cook_Islands,Aitutaki,Nassau,0.538461538,0.318181818,0.22027972,18.6,42.255,9.67,1010.37,29.22,11.87,17.66,1007.431588,2.0720822,0.070237771
360,Cook_Islands,Aitutaki,Rarotonga,0.32173913,0.093023256,0.228715875,54.62,66.6,0.97,261.64,42.82,36.82,0.26,260.6923542,1.0309863,0.245684815
