,Archipelago1.model,Archipelago2.model,beta_sor,beta_sim,beta_sne,mean_isolation,mean_reef_area,mean_past_isolation,mean_age,mean_past_reef_area,diff_isolation,diff_reef_area,diff_past_isolation,diff_age,diff_past_reef_area,key,Archipelago1.var,Archipelago2.var,Distance_raw,Distance,diff_sst,diff_past_sst,Group1,Group2
157,Maldives,Maluku_Islands,0.781145259,0,0.781145259,825.8494097,1340.072156,11.71226519,3.7,48.2857132,355.1878906,950.472628,21.20171324,0.6,30.28571319,Maldives/Maluku_Islands,Maldives,Maluku_Islands,"6.316,95",6.316,0.12,0.52496,Across_Oceans,Pacific-Indian
158,Maldives,Marianas_Islands,0.639150871,0.474227367,0.164923504,956.0759062,932.625016,35.05221099,17,17.4999997,94.7348977,1765.366908,25.47817835,26,31.28571379,Maldives/Marianas_Islands,Maldives,Marianas_Islands,"7.959,17",7.959,0.29,1.16833,Across_Oceans,Pacific-Indian
159,Maldives,Sao_Tome_Principe_and_Annobon,0.844437036,3.80E-10,0.844437035,1731.248553,907.654235,244.3363693,17.5,32,1455.610396,1815.30847,444.0464949,27,2.2857132,Maldives/Sao_Tome_Principe_and_Annobon,Sao_Tome_Principe_and_Annobon,Maldives,"7.444,68",7.444,1.74,5.33835,Across_Oceans,Atlantic-Indian
160,Maldives,Seychelles,0.367303516,0.205086444,0.162217072,904.0183731,1238.107262,54.6272772,69.5,24.49999953,198.8499639,1154.402417,64.62831078,131,17.28571415,Maldives/Seychelles,Seychelles,Maldives,"2.202,3",2.202,1.11,0.28828,Within_Regions,Indian_Ocean
161,Maldives,Virgin_Islands,0.530181148,0.0883909,0.441790248,838.3104511,1108.865508,129.7753197,57,23.14285708,330.2658079,1412.885925,214.9243958,106,19.99999905,Maldives/Virgin_Islands,Virgin_Islands,Maldives,"14.873,63",14.873,1.2,1.51132,Across_Oceans,Atlantic-Indian
162,Maluku_Islands,Marianas_Islands,0.87935637,0,0.87935637,778.4819609,457.388702,24.45135437,16.7,32.6428563,260.4529929,814.89428,46.67989159,26.6,61.57142698,Maluku_Islands/Marianas_Islands,Maluku_Islands,Marianas_Islands,"2.532,99",2.532,0.41,0.64337,Within_Regions,Western_Indo_Pacific
163,Maluku_Islands,Sao_Tome_Principe_and_Annobon,0.759052759,0.704014625,0.055038134,1553.654608,432.417921,233.7355126,17.2,47.1428566,1810.798287,864.835842,465.2482081,27.6,32.57142639,Maluku_Islands/Sao_Tome_Principe_and_Annobon,Sao_Tome_Principe_and_Annobon,Maluku_Islands,"13.686,61",13.686,1.86,5.86331,Across_Oceans,Pacific-Atlantic
164,Maluku_Islands,Seychelles,0.686511435,0,0.686511435,726.4244278,762.8709475,44.02642058,69.2,39.64285612,156.3379267,203.929789,85.83002402,131.6,47.57142734,Maluku_Islands/Seychelles,Seychelles,Maluku_Islands,"8.272,63",8.272,1.23,0.23668,Across_Oceans,Pacific-Indian
165,Maluku_Islands,Virgin_Islands,0.814776972,0.645743245,0.169033727,660.7165058,633.6291935,119.1744631,56.7,38.28571367,24.9220827,462.413297,236.126109,106.6,50.28571224,Maluku_Islands/Virgin_Islands,Virgin_Islands,Maluku_Islands,"17.716,85",17.716,1.32,2.03628,Across_Oceans,Pacific-Atlantic
166,Marianas_Islands,Sao_Tome_Principe_and_Annobon,0.915633006,0.000486728,0.915146279,1683.881104,24.970781,257.0754584,30.5,16.3571431,1550.345294,49.941562,418.5683165,1,29.00000059,Marianas_Islands/Sao_Tome_Principe_and_Annobon,Sao_Tome_Principe_and_Annobon,Marianas_Islands,"15.205,28",15.205,1.45,6.50668,Across_Oceans,Pacific-Atlantic
167,Marianas_Islands,Seychelles,0.490105496,0.00682988,0.483275615,856.6509242,355.4238075,67.36636638,82.5,8.857142628,104.1150662,610.964491,39.15013243,105,13.99999964,Marianas_Islands/Seychelles,Seychelles,Marianas_Islands,"10.115,71",10.115,0.82,0.88005,Across_Oceans,Pacific-Indian
168,Marianas_Islands,Virgin_Islands,0.823344078,0.424642735,0.398701344,790.9430022,226.1820535,142.5144089,70,7.500000178,235.5309102,352.480983,189.4462174,80,11.28571474,Marianas_Islands/Virgin_Islands,Virgin_Islands,Marianas_Islands,"15.179,92",15.179,0.91,2.67965,Across_Oceans,Pacific-Atlantic
169,Sao_Tome_Principe_and_Annobon,Seychelles,0.774057493,0.001607825,0.772449668,1631.823571,330.4530265,276.6505246,83,23.35714293,1654.46036,660.906053,379.4181841,104,15.00000095,Sao_Tome_Principe_and_Annobon/Seychelles,Sao_Tome_Principe_and_Annobon,Seychelles,"5.456,74",5.456,0.63,5.62663,Across_Oceans,Atlantic-Indian
170,Sao_Tome_Principe_and_Annobon,Virgin_Islands,0.6563814,0.121045221,0.535336179,1566.115649,201.2112725,351.7985672,70.5,22.00000048,1785.876204,402.422545,229.1220991,79,17.71428585,Sao_Tome_Principe_and_Annobon/Virgin_Islands,Virgin_Islands,Sao_Tome_Principe_and_Annobon,"8.044,99",8.044,0.54,3.82703,Within_Oceans,Atlantic
171,Seychelles,Virgin_Islands,0.611803377,0.436293582,0.175509795,738.8854691,531.664299,162.0894751,122.5,14.5,131.415844,258.483508,150.296085,25,2.7142849,Seychelles/Virgin_Islands,Virgin_Islands,Seychelles,"13.362,72",13.362,0.09,1.7996,Across_Oceans,Atlantic-Indian
