,Archipelago1,Archipelago2,beta_sor,beta_sim,beta_sne,mean_isolation,mean_reef_area,mean_past_isolation,mean_age,mean_past_reef_area,diff_isolation,diff_reef_area,diff_past_isolation,diff_age,diff_past_reef_area,diff_sst,diff_past_sst,Distance,Group1,Group2
91,Cape_Verde,Sao_Tome_Principe_and_Annobon,0.096166923,0.015160129,0.081006794,1624.903632,152.4605,552.7663486,23,15.4285717,1668.300237,304.921,172.8134637,16,30.8571434,3.03,0.66845,3.773,Within_Regions,Eastern_Atlantic
92,Cape_Verde,Seychelles,0.155950805,0.018876873,0.137073932,797.6734525,482.9135265,363.0572565,75,7.928571225,13.8398772,355.985053,552.2316478,120,15.85714245,3.66,4.95818,9.06,Across_Oceans,Atlantic-Indian
93,Cape_Verde,Virgin_Islands,0.118101772,0.02752234,0.090579432,731.9655305,353.6717725,438.205299,62.5,6.571428775,117.5759668,97.501545,401.9355628,95,13.14285755,3.57,3.15858,4.36,Within_Oceans,Atlantic
94,Cook_Islands,Fiji,0.077861347,0.000279762,0.077581585,778.2040798,1236.772841,102.7923159,23.25,17.99999916,16.5810299,2370.318158,172.8974894,9.5,30.85714125,0.15,0.32736,2.363,Within_Regions,Central_Pacific
95,Cook_Islands,French_Polynesia,0.02426671,0.000121153,0.024145557,754.7226168,32.9057815,206.4169201,30.15,2.785714269,30.3818961,37.415961,34.3517189,23.3,0.428571463,0.6,0.9642,1.156,Within_Regions,Central_Pacific
96,Cook_Islands,Galapagos,0.128807566,0.03939169,0.089415876,981.5532074,87.714728,357.3575269,10.905,1.285714269,423.2792852,72.201932,336.2329326,15.19,2.571428537,3.35,2.69328,7.767,Within_Oceans,Pacific
97,Cook_Islands,Hawaii,0.03270739,0.015127366,0.017580024,904.2629774,213.763742,289.432085,21.75,3,268.6988252,324.29996,200.3820488,6.5,0.857142926,1.33,0.19526,4.712,Within_Regions,Central_Pacific
98,Cook_Islands,Islas_Revillagigedo,0.200144702,0.015577482,0.18456722,762.8410574,28.872881,197.8741832,14.25,1.714285702,14.1450149,45.481762,17.2662452,8.5,1.714285671,2.22,3.87559,6.829,Within_Oceans,Pacific
99,Cook_Islands,Juan_Fernandez_Islands,0.311581632,0.025611017,0.285970614,981.5532074,87.714728,357.3575269,9.95,1.285714269,423.2792852,72.201932,336.2329326,17.1,2.571428537,9.65,8.06005,7.916,Within_Oceans,Pacific
100,Cook_Islands,Maldives,0.071045641,0.047969616,0.023076025,886.6784599,933.461116,105.7770912,11.25,17.85714257,233.5297902,1763.694708,166.9279388,14.5,30.57142806,2.08,0.11042,13.934,Across_Oceans,Pacific-Indian
101,Cook_Islands,Maluku_Islands,0.090598203,0.030281265,0.060316938,709.0845146,458.224802,95.17623459,10.95,32.99999916,121.6581004,813.22208,188.129652,15.1,60.85714125,2.2,0.41454,7.891,Within_Oceans,Pacific
102,Cook_Islands,Marianas_Islands,0.060734501,0.000271584,0.060462917,839.3110111,50.777662,118.5161804,24.25,2.214285672,138.7948925,1.6722,141.4497604,11.5,0.714285731,1.79,1.05791,7.17,Within_Oceans,Pacific
103,Cook_Islands,Sao_Tome_Principe_and_Annobon,0.197480348,0.010183239,0.18729711,1614.483658,25.806881,327.8003387,24.75,16.71428597,1689.140186,51.613762,277.1185561,12.5,28.28571486,0.34,5.44877,17.249,Across_Oceans,Pacific-Atlantic
104,Cook_Islands,Seychelles,0.06122704,0.030665492,0.030561548,787.253478,356.2599075,138.0912466,76.75,9.214285494,34.6798263,609.292291,102.299628,116.5,13.28571391,0.97,0.17786,15.22,Across_Oceans,Pacific-Indian
105,Cook_Islands,Virgin_Islands,0.20501574,0.00653985,0.19847589,721.545556,227.0181535,213.2392891,64.25,7.857143044,96.7360177,350.808783,47.996457,91.5,10.57142901,0.88,1.62174,11.226,Across_Oceans,Pacific-Atlantic
106,Fiji,French_Polynesia,0.055734853,0.002303016,0.053431837,763.0131317,1218.064861,119.9681753,34.9,18.2142849,46.962926,2407.734119,207.2492083,13.8,30.42856979,0.45,1.29156,3.416,Within_Regions,Central_Pacific
107,Fiji,Galapagos,0.173651807,0.005044999,0.168606808,989.8437224,1272.873807,270.9087822,15.655,16.7142849,406.6982553,2298.116226,509.130422,24.69,33.42856979,3.5,3.02064,10.063,Within_Oceans,Pacific
108,Fiji,Hawaii,0.064338517,0.004788934,0.059549583,912.5534924,1398.922821,202.9833403,26.5,18.42857063,252.1177953,2046.018198,373.2795382,3,29.99999833,1.48,0.1321,4.889,Within_Regions,Central_Pacific
109,Fiji,Islas_Revillagigedo,0.265165611,0.005247228,0.259918383,771.1315723,1214.03196,111.4254385,19,17.14285633,30.7260448,2415.79992,190.1637346,18,32.57142692,2.37,4.20295,8.644,Within_Oceans,Pacific
110,Fiji,Juan_Fernandez_Islands,0.36350021,0.00105683,0.362443381,989.8437224,1272.873807,270.9087822,14.7,16.7142849,406.6982553,2298.116226,509.130422,26.6,33.42856979,9.8,8.38741,10.078,Within_Oceans,Pacific
111,Fiji,Maldives,0.053465116,0,0.053465116,894.9689749,2118.620195,19.32834649,16,33.2857132,216.9487603,606.62345,5.96955064,24,0.28571319,1.93,0.43778,11.753,Across_Oceans,Pacific-Indian
112,Fiji,Maluku_Islands,0.046553403,0.031564384,0.014989019,717.3750296,1643.383881,8.727489871,15.7,48.42856979,138.2391303,1557.096078,15.2321626,24.6,30,2.05,0.08718,5.551,Within_Oceans,Pacific
113,Fiji,Marianas_Islands,0.023526296,0.006432259,0.017094037,847.601526,1235.936741,32.06743567,29,17.6428563,122.2138626,2371.990358,31.44772899,2,31.57142698,1.64,0.73055,5.028,Within_Oceans,Pacific
