,Archipelago,Island1,Island2,beta_sor,beta_sim,beta_sne,mean_emerse_pres,mean_emerse_past,mean_island_age,Distance_km,diff_emerse_pres,diff_emerse_past,diff_island_age,d_past.y,diif_present_air,diff_past_air
56,Galapagos,Santiago_Island,Espanola_Island,0.900928793,0.2,0.700928793,3754.48,5369.9,2.45,168.58,7310.7,10026.2,2.1,154.6166561,0.88969863,0.065337181
57,Galapagos,Santiago_Island,Fernandina_Island,0.39874739,0.181818182,0.216929209,6749.215,9104.85,0.73,117.49,1321.23,2556.3,1.34,102.6767543,0.04583561,0.265550041
58,Galapagos,Santiago_Island,Floreana_Island,0.272727273,0.226765799,0.045961473,3860.995,5958.035,1.85,117.38,7097.67,8849.93,0.9,96.33402189,0.90736986,0.057183457
59,Galapagos,Santiago_Island,Genovesa_Island,0.900621118,0.157894737,0.742726381,3717.415,5213.19,1.1,107.83,7384.83,10339.62,0.6,98.01141606,0.01112329,0.164699936
60,Galapagos,Santiago_Island,Isabela,0.540983607,0.394594595,0.146389012,7828.085,11127.945,1.1,78.54,836.51,1489.89,0.6,59.37444122,0.04583561,0.023866163
61,Galapagos,Santiago_Island,San_Cristobal,0.329529244,0.224422442,0.105106802,4647.13,6986.055,2.7,155.56,5525.4,6793.89,2.6,137.3277641,0.60668493,0.130349922
62,Galapagos,Santiago_Island,Santa_Cruz,0.290886392,0.062706271,0.228180121,6832.93,10025.305,1.85,53.38,1153.8,715.39,0.9,33.60765263,0,0.204716683
63,Virgin_Islands,Saint_Croix,Saint_John,0.270935961,0.24379562,0.02714034,158.705,486.32,110,70.34,142.35,50.46,0,59.29715314,0.17279452,0.074971962
64,Virgin_Islands,Saint_Croix,Saint_Thomas,0.286465177,0.262228261,0.024236917,168.56,767.505,110,68.32,122.64,511.91,0,51.90684282,0.17279452,0.066130638
65,Virgin_Islands,Saint_Croix,Tortola,0.338983051,0.236654804,0.102328247,182.25,590.55,110,80.58,95.26,158,0,68.32086256,0.23276712,0.067410278
66,Virgin_Islands,Saint_Croix,Virgin_Gorda,0.414195867,0.135278515,0.278917352,136.86,479.73,110,94.7,186.04,63.64,0,82.28874133,0.23276712,0.076783371
67,Virgin_Islands,Saint_John,Saint_Thomas,0.250849762,0.195620438,0.055229324,97.385,742.275,110,21.15,19.71,562.37,0,2.106826599,0,0.008841324
68,Virgin_Islands,Saint_John,Tortola,0.279871692,0.201067616,0.078804076,111.075,565.32,110,13.71,47.09,208.46,0,-1.179153658,0.0599726,0.007561684
69,Virgin_Islands,Saint_John,Virgin_Gorda,0.376647834,0.122015915,0.254631919,65.685,454.5,110,38.52,43.69,13.18,0,23.47872511,0.0599726,0.001811409
70,Virgin_Islands,Saint_Thomas,Tortola,0.308605341,0.170818505,0.137786836,120.93,846.505,110,30.77,27.38,353.91,0,10.51053603,0.0599726,0.00127964
71,Virgin_Islands,Saint_Thomas,Virgin_Gorda,0.430782459,0.122015915,0.308766544,75.54,735.685,110,56.24,63.4,575.55,0,35.82841479,0.0599726,0.010652733
72,Virgin_Islands,Tortola,Virgin_Gorda,0.354632588,0.196286472,0.158346116,89.23,558.73,110,25.53,90.78,221.64,0,9.272434536,0,0.009373093
73,Virgin_Islands,Saint_John,Saint_Croix,0.270935961,0.24379562,0.02714034,158.705,486.32,110,70.34,142.35,50.46,0,59.29715314,0.17279452,0.074971962
74,Virgin_Islands,Saint_Thomas,Saint_Croix,0.286465177,0.262228261,0.024236917,168.56,767.505,110,68.32,122.64,511.91,0,51.90684282,0.17279452,0.066130638
75,Virgin_Islands,Saint_Thomas,Saint_John,0.250849762,0.195620438,0.055229324,97.385,742.275,110,21.15,19.71,562.37,0,2.106826599,0,0.008841324
76,Virgin_Islands,Tortola,Saint_Croix,0.338983051,0.236654804,0.102328247,182.25,590.55,110,80.58,95.26,158,0,68.32086256,0.23276712,0.067410278
77,Virgin_Islands,Tortola,Saint_John,0.279871692,0.201067616,0.078804076,111.075,565.32,110,13.71,47.09,208.46,0,-1.179153658,0.0599726,0.007561684
78,Virgin_Islands,Tortola,Saint_Thomas,0.308605341,0.170818505,0.137786836,120.93,846.505,110,30.77,27.38,353.91,0,10.51053603,0.0599726,0.00127964
79,Virgin_Islands,Virgin_Gorda,Saint_Croix,0.414195867,0.135278515,0.278917352,136.86,479.73,110,94.7,186.04,63.64,0,82.28874133,0.23276712,0.076783371
80,Virgin_Islands,Virgin_Gorda,Saint_John,0.376647834,0.122015915,0.254631919,65.685,454.5,110,38.52,43.69,13.18,0,23.47872511,0.0599726,0.001811409
81,Virgin_Islands,Virgin_Gorda,Saint_Thomas,0.430782459,0.122015915,0.308766544,75.54,735.685,110,56.24,63.4,575.55,0,35.82841479,0.0599726,0.010652733
82,Virgin_Islands,Virgin_Gorda,Tortola,0.354632588,0.196286472,0.158346116,89.23,558.73,110,25.53,90.78,221.64,0,9.272434536,0,0.009373093
83,Andaman_Nicobar,Little_Andaman_Island,Great_Nicobar,1,1,0,940.88,4602.04,NA,428.87,337.42,1396.74,NA,387.0156999,0.00219178,0.018054151
84,Andaman_Nicobar,Middle_Andaman_Island,Great_Nicobar,0.894736842,0.8,0.094736842,1203.025,4738.32,NA,627.93,861.71,1124.18,NA,588.8776752,0.24326027,0.022649956
85,Andaman_Nicobar,Middle_Andaman_Island,Little_Andaman_Island,1,1,0,1371.735,4039.95,NA,208.77,524.29,272.56,NA,178.6584552,0.24545205,0.004595805
86,Andaman_Nicobar,North_Andaman_Island,Great_Nicobar,0.894736842,0.8,0.094736842,1326.665,6478.59,NA,696.77,1108.99,2356.36,NA,646.4744182,0.19624657,0.08765831
87,Andaman_Nicobar,North_Andaman_Island,Little_Andaman_Island,1,1,0,1495.375,5780.22,NA,281.24,771.57,3753.1,NA,239.8851982,0.19843835,0.069604159
88,Andaman_Nicobar,North_Andaman_Island,Middle_Andaman_Island,0,0,0,1757.52,5916.5,NA,80.89,247.28,3480.54,NA,42.33717356,0.0470137,0.065008354
89,Andaman_Nicobar,Great_Nicobar,Little_Andaman_Island,1,1,0,940.88,4602.04,NA,428.87,337.42,1396.74,NA,387.0156999,0.00219178,0.018054151
90,Andaman_Nicobar,Great_Nicobar,Middle_Andaman_Island,0.894736842,0.8,0.094736842,1203.025,4738.32,NA,627.93,861.71,1124.18,NA,588.8776752,0.24326027,0.022649956
91,Andaman_Nicobar,Great_Nicobar,North_Andaman_Island,0.894736842,0.8,0.094736842,1326.665,6478.59,NA,696.77,1108.99,2356.36,NA,646.4744182,0.19624657,0.08765831
92,Andaman_Nicobar,Little_Andaman_Island,Middle_Andaman_Island,1,1,0,1371.735,4039.95,NA,208.77,524.29,272.56,NA,178.6584552,0.24545205,0.004595805
93,Andaman_Nicobar,Little_Andaman_Island,North_Andaman_Island,1,1,0,1495.375,5780.22,NA,281.24,771.57,3753.1,NA,239.8851982,0.19843835,0.069604159
94,Andaman_Nicobar,Middle_Andaman_Island,North_Andaman_Island,0,0,0,1757.52,5916.5,NA,80.89,247.28,3480.54,NA,42.33717356,0.0470137,0.065008354
95,Azores,Crow,Faial,0.261083744,0.137931034,0.123152709,192.37,315.89,11.55,242.53,171.66,196.4,22.04,237.9587257,0.11172603,0.039641189
96,Azores,Crow,Flores,0.244343891,0.040229885,0.204114006,154.515,296.715,11.575,29.72,95.95,158.05,21.99,24.31133123,0,0.1010746
97,Azores,Crow,Graciosa,0.397101449,0.391812865,0.005288584,84.97,179.165,11.47,276.96,43.14,77.05,22.2,272.2607172,0.03295891,0.21777544
98,Azores,Crow,Pico,0.303964758,0.091954023,0.212010735,447.21,630.755,11.3005,276.09,681.34,826.13,22.539,271.1976284,0.05547945,0.159091282
99,Azores,Crow,Santa_Maria,0.301136364,0.293103448,0.008032915,111.255,220.335,13.335,605.48,9.43,5.29,18.47,600.6301824,0.91824658,0.107558727
100,Azores,Crow,Sao_Miguel,0.262599469,0.201149425,0.061450044,452.015,674.57,12.285,532.57,690.95,913.76,20.57,527.0242039,0.27868494,0.074613857
101,Azores,Crow,Terceira,0.275,0.166666667,0.108333333,260.84,413.87,11.43,353.29,308.6,392.36,22.28,348.349558,0.22057535,0.123992062
102,Azores,Faial,Flores,0.264,0.206896552,0.057103448,240.345,394.915,0.555,237.39,75.71,38.35,0.05,232.4115974,0.11172603,0.061433411
103,Azores,Faial,Graciosa,0.404466501,0.298245614,0.106220887,170.8,277.365,0.45,79.88,214.8,273.45,0.16,75.6109834,0.07876712,0.257416629
104,Azores,Faial,Pico,0.2265625,0.146551724,0.080010776,533.04,728.955,0.2805,36.93,509.68,629.73,0.499,32.46789453,0.16720548,0.119450093
105,Azores,Faial,Santa_Maria,0.297560976,0.191011236,0.10654974,197.085,318.535,2.315,363.81,162.23,191.11,3.57,359.3904486,0.80652055,0.147199916
106,Azores,Faial,Sao_Miguel,0.213793103,0.157635468,0.056157635,537.845,772.77,1.265,296.19,519.29,717.36,1.47,291.0744701,0.16695891,0.114255046
107,Azores,Faial,Terceira,0.200873362,0.190265487,0.010607876,346.67,512.07,0.41,127.75,136.94,195.96,0.24,123.2398242,0.10884932,0.163633251
108,Azores,Flores,Graciosa,0.439635535,0.280701754,0.158933781,132.945,258.19,0.475,279.59,139.09,235.1,0.21,274.483589,0.03295891,0.31885004
109,Azores,Flores,Pico,0.251824818,0.235074627,0.016750191,495.185,709.78,0.3055,272.46,585.39,668.08,0.549,267.1605001,0.05547945,0.058016682
110,Azores,Flores,Santa_Maria,0.35426009,0.191011236,0.163248854,159.23,299.36,2.34,601,86.52,152.76,3.52,595.7430541,0.91824658,0.208633327
111,Azores,Flores,Sao_Miguel,0.295116773,0.18226601,0.112850763,499.99,753.595,1.29,530.58,595,755.71,1.42,524.6270757,0.27868494,0.175688457
112,Azores,Flores,Terceira,0.279352227,0.212389381,0.066962846,308.815,492.895,0.435,353.33,212.65,234.31,0.29,347.9824297,0.22057535,0.225066662
113,Azores,Graciosa,Pico,0.423503326,0.239766082,0.183737244,425.64,592.23,0.2005,70.71,724.48,903.18,0.339,66.1198861,0.08843836,0.376866722
114,Azores,Graciosa,Santa_Maria,0.369627507,0.356725146,0.012902361,89.685,181.81,2.235,343.84,52.57,82.34,3.73,339.2924401,0.88528767,0.110216713
115,Azores,Graciosa,Sao_Miguel,0.459893048,0.409356725,0.050536323,430.445,636.045,1.185,261.96,734.09,990.81,1.63,256.7164617,0.24572603,0.143161583
116,Azores,Graciosa,Terceira,0.410579345,0.315789474,0.094789871,239.27,375.345,0.33,77.05,351.74,469.41,0.08,72.41181573,0.18761644,0.093783378
117,Azores,Pico,Santa_Maria,0.371179039,0.191011236,0.180167803,451.925,633.4,2.0655,329.86,671.91,820.84,4.069,325.1193512,0.97372603,0.266650009
118,Azores,Pico,Sao_Miguel,0.291925466,0.157635468,0.134289998,792.685,1087.635,1.0155,263.2,9.61,87.63,1.969,257.7633728,0.33416439,0.233705139
119,Azores,Pico,Terceira,0.241106719,0.150442478,0.090664241,601.51,826.935,0.1605,99.01,372.74,433.77,0.259,94.17872685,0.2760548,0.283083344
120,Azores,Santa_Maria,Sao_Miguel,0.280839895,0.230337079,0.050502816,456.73,677.215,3.05,95.97,681.52,908.47,2.1,90.57592682,0.63956164,0.03294487
