,Archipelago,Island1,Island2,beta_sor,beta_turn,beta_nest,mean_emerse_pres,mean_emerse_past,mean_island_age,Distance_km,diff_emerse_pres,diff_emerse_past,diff_island_age,d_past.y,diif_present_air,diff_past_air
403,Fiji,Cakaudrove,Rewa,0.563331315,0.15680804,0.406523275,4189.1,6205.755,28,200.48,421.02,2004.95,0,184.8917583,0.06830137,0.03561306
404,Fiji,Cakaudrove,Rotuma,0.901296998,0,0.901296998,2244.17,3678.33,28,520.19,4310.88,7059.8,0,508.152866,1.83852055,0.198995336
405,Fiji,Cakaudrove,Serua,0.578337242,0.342491103,0.235846138,4777.165,6479.71,28,236.16,755.11,1457.04,0,223.4025668,0.21890411,0.040104198
406,Fiji,Cakaudrove,Tailevu,0.60346031,0.462516394,0.140943916,4791.605,7365.47,28,178.72,783.99,314.48,0,159.9279311,0.06830137,0.039302826
407,Fiji,Nadroga_Navosa,Namosi,0.382653805,0.021497993,0.361155812,5795.375,6510.49,28,50.95,2132.75,2009.5,0,45.70994704,1.25389041,0.035050011
408,Fiji,Nadroga_Navosa,Rewa,0.685597579,0.014249696,0.671347883,4353.795,5354.51,28,88.04,750.41,302.46,0,79.86452717,0.19169863,0.050156402
409,Fiji,Nadroga_Navosa,Rotuma,0.153415508,0.036154435,0.117261073,2408.865,2827.085,28,609.75,4640.27,5357.31,0,605.1256349,2.09852055,0.284764798
410,Fiji,Nadroga_Navosa,Serua,0.753685898,0,0.753685898,4941.86,5628.465,28,48.74,425.72,245.45,0,43.39533572,0.04109589,0.045665264
411,Fiji,Nadroga_Navosa,Tailevu,0.796264923,1.41E-16,0.796264923,4956.3,6514.225,28,99.72,454.6,2016.97,0,88.34069994,0.19169863,0.046466636
412,Fiji,Namosi,Rewa,0.573057797,0.268043722,0.305014075,5420.17,6359.26,28,27.31,2883.16,2311.96,0,20.02490052,1.44558904,0.085206413
413,Fiji,Namosi,Rotuma,0.469660757,0,0.469660757,3475.24,3831.835,28,616.55,6773.02,7366.81,0,612.8160083,3.35241096,0.319814809
414,Fiji,Namosi,Serua,0.578734948,0.098296167,0.48043878,6008.235,6633.215,28,22.15,1707.03,1764.05,0,17.69570907,1.2949863,0.080715275
415,Fiji,Namosi,Tailevu,0.640333891,0.089517609,0.550816282,6022.675,7518.975,28,47.4,1678.15,7.47,0,36.91107329,1.44558904,0.081516647
416,Fiji,Rewa,Rotuma,0.741291398,0,0.741291398,2033.66,2675.855,28,629.06,3889.86,5054.85,0,622.3905884,1.90682192,0.234608396
417,Fiji,Rewa,Serua,0.523664892,0.440108958,0.083555934,4566.655,5477.235,28,45.86,1176.13,547.91,0,38.4702892,0.15060274,0.004491138
418,Fiji,Rewa,Tailevu,0.562202247,0.414928599,0.147273647,4581.095,6362.995,28,36,1205.01,2319.43,0,22.57565342,0,0.003689766
419,Fiji,Rotuma,Serua,0.801823774,5.67E-16,0.801823774,2621.725,2949.81,28,628.43,5065.99,5602.76,0,624.5913969,2.05742466,0.239099534
420,Fiji,Rotuma,Tailevu,0.836855587,0,0.836855587,2636.165,3835.57,28,605.56,5094.87,7374.28,0,595.6867612,1.90682192,0.238298162
421,Fiji,Serua,Tailevu,0.153409199,0.052518381,0.100890818,5169.16,6636.95,28,67.76,28.88,1771.52,0,57.16646197,0.15060274,0.000801372
422,Fiji,Nadroga_Navosa,Cakaudrove,0.875660408,5.05E-05,0.87560989,4564.305,6356.985,28,264.23,329.39,1702.49,0,250.6868048,0.26,0.085769462
423,Fiji,Namosi,Cakaudrove,0.861619916,0.449860032,0.411759884,5630.68,7361.735,28,213.27,2462.14,307.01,0,200.6171781,1.51389041,0.120819473
424,Fiji,Namosi,Nadroga_Navosa,0.382653805,0.021497993,0.361155812,5795.375,6510.49,28,50.95,2132.75,2009.5,0,45.70994704,1.25389041,0.035050011
425,Fiji,Rewa,Cakaudrove,0.563331315,0.15680804,0.406523275,4189.1,6205.755,28,200.48,421.02,2004.95,0,184.8917583,0.06830137,0.03561306
426,Fiji,Rewa,Nadroga_Navosa,0.685597579,0.014249696,0.671347883,4353.795,5354.51,28,88.04,750.41,302.46,0,79.86452717,0.19169863,0.050156402
427,Fiji,Rewa,Namosi,0.573057797,0.268043722,0.305014075,5420.17,6359.26,28,27.31,2883.16,2311.96,0,20.02490052,1.44558904,0.085206413
428,Fiji,Rotuma,Cakaudrove,0.901296998,0,0.901296998,2244.17,3678.33,28,520.19,4310.88,7059.8,0,508.152866,1.83852055,0.198995336
429,Fiji,Rotuma,Nadroga_Navosa,0.153415508,0.036154435,0.117261073,2408.865,2827.085,28,609.75,4640.27,5357.31,0,605.1256349,2.09852055,0.284764798
430,Fiji,Rotuma,Namosi,0.469660757,0,0.469660757,3475.24,3831.835,28,616.55,6773.02,7366.81,0,612.8160083,3.35241096,0.319814809
431,Fiji,Rotuma,Rewa,0.741291398,0,0.741291398,2033.66,2675.855,28,629.06,3889.86,5054.85,0,622.3905884,1.90682192,0.234608396
432,Fiji,Serua,Cakaudrove,0.578337242,0.342491103,0.235846138,4777.165,6479.71,28,236.16,755.11,1457.04,0,223.4025668,0.21890411,0.040104198
433,Fiji,Serua,Nadroga_Navosa,0.753685898,0,0.753685898,4941.86,5628.465,28,48.74,425.72,245.45,0,43.39533572,0.04109589,0.045665264
434,Fiji,Serua,Namosi,0.578734948,0.098296167,0.48043878,6008.235,6633.215,28,22.15,1707.03,1764.05,0,17.69570907,1.2949863,0.080715275
435,Fiji,Serua,Rewa,0.523664892,0.440108958,0.083555934,4566.655,5477.235,28,629.06,1176.13,547.91,0,621.6702892,0.15060274,0.004491138
436,Fiji,Serua,Rotuma,0.801823774,5.67E-16,0.801823774,2621.725,2949.81,28,628.43,5065.99,5602.76,0,624.5913969,2.05742466,0.239099534
437,Fiji,Tailevu,Cakaudrove,0.60346031,0.462516394,0.140943916,4791.605,7365.47,28,178.72,783.99,314.48,0,159.9279311,0.06830137,0.039302826
438,Fiji,Tailevu,Nadroga_Navosa,0.796264923,1.41E-16,0.796264923,4956.3,6514.225,28,99.72,454.6,2016.97,0,88.34069994,0.19169863,0.046466636
439,Fiji,Tailevu,Namosi,0.640333891,0.089517609,0.550816282,6022.675,7518.975,28,47.4,1678.15,7.47,0,36.91107329,1.44558904,0.081516647
440,Fiji,Tailevu,Rewa,0.562202247,0.414928599,0.147273647,4581.095,6362.995,28,36,1205.01,2319.43,0,22.57565342,0,0.003689766
441,Fiji,Tailevu,Rotuma,0.836855587,0,0.836855587,2636.165,3835.57,28,605.56,5094.87,7374.28,0,595.6867612,1.90682192,0.238298162
