,Archipelago1,Archipelago2,beta_sor,beta_sim,beta_sne,diff_isolation,diff_reef_area,diff_past_isolation,diff_age,diff_past_reef_area,diff_sst,diff_past_sst,mean_sst,mean_past_sst,Group1,Group2,Archipelago1.var,Archipelago2.var,Distance_raw,Distance
162,Maluku_Islands,Marianas_Islands,0.526084837,0.495850622,0.030234214,260.4529929,814.89428,46.67989159,26.6,61.57142698,0.41,0.64337,29.315,27.587565,Within_Regions,Western_Indo_Pacific,Maluku_Islands,Marianas_Islands,"2.532,99",2.532
163,Maluku_Islands,Sao_Tome_Principe_and_Annobon,0.981380915,0.940594059,0.040786856,1810.798287,864.835842,465.2482081,27.6,32.57142639,1.86,5.86331,28.59,24.334225,Across_Oceans,Pacific-Atlantic,Sao_Tome_Principe_and_Annobon,Maluku_Islands,"13.686,61",13.686
164,Maluku_Islands,Seychelles,0.572110793,0.555114201,0.016996592,156.3379267,203.929789,85.83002402,131.6,47.57142734,1.23,0.23668,28.905,27.14754,Across_Oceans,Pacific-Indian,Seychelles,Maluku_Islands,"8.272,63",8.272
165,Maluku_Islands,Virgin_Islands,0.979674797,0.961439589,0.018235208,24.9220827,462.413297,236.126109,106.6,50.28571224,1.32,2.03628,28.86,26.24774,Across_Oceans,Pacific-Atlantic,Virgin_Islands,Maluku_Islands,"17.716,85",17.716
166,Marianas_Islands,Sao_Tome_Principe_and_Annobon,0.967409949,0.905940594,0.061469354,1550.345294,49.941562,418.5683165,1,29.00000059,1.45,6.50668,28.385,24.65591,Across_Oceans,Pacific-Atlantic,Sao_Tome_Principe_and_Annobon,Marianas_Islands,"15.205,28",15.205
167,Marianas_Islands,Seychelles,0.481481481,0.469917012,0.011564469,104.1150662,610.964491,39.15013243,105,13.99999964,0.82,0.88005,28.7,27.469225,Across_Oceans,Pacific-Indian,Seychelles,Marianas_Islands,"10.115,71",10.115
168,Marianas_Islands,Virgin_Islands,0.968957871,0.946015424,0.022942447,235.5309102,352.480983,189.4462174,80,11.28571474,0.91,2.67965,28.655,26.569425,Across_Oceans,Pacific-Atlantic,Virgin_Islands,Marianas_Islands,"15.179,92",15.179
169,Sao_Tome_Principe_and_Annobon,Seychelles,0.976840364,0.930693069,0.046147295,1654.46036,660.906053,379.4181841,104,15.00000095,0.63,5.62663,27.975,24.215885,Across_Oceans,Atlantic-Indian,Sao_Tome_Principe_and_Annobon,Seychelles,"5.456,74",5.456
170,Sao_Tome_Principe_and_Annobon,Virgin_Islands,0.796954315,0.702970297,0.093984018,1785.876204,402.422545,229.1220991,79,17.71428585,0.54,3.82703,27.93,23.316085,Within_Oceans,Atlantic,Virgin_Islands,Sao_Tome_Principe_and_Annobon,"8.044,99",8.044
171,Seychelles,Virgin_Islands,0.971346705,0.948586118,0.022760587,131.415844,258.483508,150.296085,25,2.7142849,0.09,1.7996,28.245,26.1294,Across_Oceans,Atlantic-Indian,Virgin_Islands,Seychelles,"13.362,72",13.362
