,Archipelago,Island1,Island2,beta_sor,beta_nest,beta_turn,mean_emerse_pres,mean_emerse_past,mean_island_age,Distance_km,diff_emerse_pres,diff_emerse_past,diff_island_age,d_past.y,diif_present_air,diff_past_air
1,American_Samoa,Tutuila,Tau,0.345938551,0.345938551,0,77.725,226.23,0.725,139.75,77.91,346.32,1.35,133.9719921,0.07983562,0.185986137
2,American_Samoa,Tutuila,Ofu,0.613801415,0.613801415,0,62.485,218.255,0.9,113.74,108.39,362.27,1,106.7461508,0.07983562,0.020711708
3,American_Samoa,Tau,Ofu,0.701779855,0.153678662,0.548101193,23.53,45.095,0.225,26.19,30.48,15.95,0.35,23.77992745,0,0.206697845
4,American_Samoa,Tau,Tutuila,0.345938551,0.345938551,0,77.725,226.23,0.725,139.75,77.91,346.32,1.35,133.9719921,0.07983562,0.185986137
5,American_Samoa,Ofu,Tutuila,0.613801415,0.613801415,0,62.485,218.255,0.9,113.74,108.39,362.27,1,106.7461508,0.07983562,0.020711708
6,American_Samoa,Ofu,Tau,0.701779855,0.153678662,0.548101193,23.53,45.095,0.225,26.19,30.48,15.95,0.35,23.77992745,0,0.206697845
7,Galapagos,Espanola_Island,Fernandina_Island,0.049679797,0.023887998,0.025791799,3093.865,4091.75,1.78,228.43,5989.47,7469.9,3.44,217.5005745,0.84386302,0.330887222
8,Galapagos,Espanola_Island,Floreana_Island,0.069965836,0.031995815,0.037970021,205.645,944.935,2.9,189.28,213.03,1176.27,1.2,172.1178421,0.01767123,0.122520638
9,Galapagos,Espanola_Island,Genovesa_Island,0.049826927,0.023637376,0.026189551,62.065,200.09,2.15,189.82,74.13,313.42,2.7,183.8852362,0.90082192,0.099362755
10,Galapagos,Espanola_Island,Isabela,0.117196457,0.015135686,0.102060771,4172.735,6114.845,2.15,174.34,8147.21,11516.09,2.7,159.0582614,0.84386302,0.089203344
11,Galapagos,Espanola_Island,San_Cristobal,0.10858342,0.003408821,0.105174599,991.78,1972.955,3.75,65.57,1785.3,3232.31,0.5,51.22158426,0.2830137,0.065012741
12,Galapagos,Espanola_Island,Santa_Cruz,0.084145364,0.029536733,0.054608631,3177.58,5012.205,2.9,112.22,6156.9,9310.81,1.2,96.33147282,0.88969863,0.270053864
13,Galapagos,Espanola_Island,Santiago_Island,0.068424115,0.043308763,0.025115353,3754.48,5369.9,2.45,168.58,7310.7,10026.2,2.1,154.6166561,0.88969863,0.065337181
14,Galapagos,Fernandina_Island,Floreana_Island,0.040023514,0.008469403,0.031554111,3200.38,4679.885,1.18,156.8,5776.44,6293.63,2.24,138.7879404,0.86153425,0.208366584
15,Galapagos,Fernandina_Island,Genovesa_Island,0.051889724,0.00023471,0.051655014,3056.8,3935.04,0.43,189.4,6063.6,7783.32,0.74,182.6153345,0.0569589,0.430249977
16,Galapagos,Fernandina_Island,Isabela,0.071803166,0.040045894,0.031757272,7167.47,9849.795,0.43,90.17,2157.74,4046.19,0.74,74.0383597,0,0.241683878
17,Galapagos,Fernandina_Island,San_Cristobal,0.086211016,0.019327527,0.066883488,3986.515,5707.905,2.03,119.67,4204.17,4237.59,3.94,104.4716826,0.56084932,0.395899963
18,Galapagos,Fernandina_Island,Santa_Cruz,0.062438247,0.006350256,0.056087991,6172.315,8747.155,1.18,74.18,167.43,1840.91,2.24,57.44157112,0.04583561,0.060833358
19,Galapagos,Fernandina_Island,Santiago_Island,0.030533424,0.019710118,0.010823306,6749.215,9104.85,0.73,117.49,1321.23,2556.3,1.34,102.6767543,0.04583561,0.265550041
20,Galapagos,Floreana_Island,Genovesa_Island,0.035512426,0.008752179,0.026760247,168.58,788.225,1.55,185.07,287.16,1489.69,1.5,172.0526021,0.91849315,0.221883393
21,Galapagos,Floreana_Island,Isabela,0.081121928,0.048450176,0.032671752,4279.25,6702.98,1.55,89.17,7934.18,10339.82,1.5,66.80562725,0.86153425,0.033317294
22,Galapagos,Floreana_Island,San_Cristobal,0.094058654,0.027492325,0.066566329,1098.295,2561.09,3.15,121.55,1572.27,2056.04,1.7,100.1189501,0.30068493,0.187533379
23,Galapagos,Floreana_Island,Santa_Cruz,0.068238199,0.001883985,0.066354213,3284.095,5600.34,2.3,72.72,5943.87,8134.54,0,49.74883866,0.90736986,0.147533226
24,Galapagos,Floreana_Island,Santiago_Island,0.02027945,0.011079498,0.009199952,3860.995,5958.035,1.85,117.38,7097.67,8849.93,0.9,96.33402189,0.90736986,0.057183457
25,Galapagos,Genovesa_Island,Isabela,0.096732362,0.038727572,0.05800479,4135.67,5958.135,0.8,192.22,8221.34,11829.51,0,181.0830214,0.0569589,0.188566099
26,Galapagos,Genovesa_Island,San_Cristobal,0.109394388,0.018607489,0.090786899,954.715,1816.245,2.4,141.88,1859.43,3545.73,3.2,131.6763443,0.61780822,0.034350014
27,Galapagos,Genovesa_Island,Santa_Cruz,0.083012219,0.006440985,0.076571234,3140.515,4855.495,1.55,115.81,6231.03,9624.23,1.5,104.0662328,0.01112329,0.369416619
28,Galapagos,Genovesa_Island,Santiago_Island,0.031859753,0.019932566,0.011927187,3717.415,5213.19,1.1,107.83,7384.83,10339.62,0.6,98.01141606,0.01112329,0.164699936
29,Galapagos,Isabela,San_Cristobal,0.020668211,0.020664095,4.12E-06,5065.385,7731,2.4,185.75,6361.91,8283.78,3.2,166.1993694,0.56084932,0.154216085
30,Galapagos,Isabela,Santa_Cruz,0.048077489,0.048073373,4.12E-06,7251.185,10770.25,1.55,91.72,1990.31,2205.28,1.5,70.62925799,0.04583561,0.18085052
31,Galapagos,Isabela,Santiago_Island,0.069734946,0.060680207,0.00905474,7828.085,11127.945,1.1,78.54,836.51,1489.89,0.6,59.37444122,0.04583561,0.023866163
32,Galapagos,San_Cristobal,Santa_Cruz,0.031692044,0.027316599,0.004375445,4070.23,6628.36,3.15,105.48,4371.6,6078.5,1.7,85.32258084,0.60668493,0.335066605
33,Galapagos,San_Cristobal,Santiago_Island,0.084579437,0.038760646,0.045818791,4647.13,6986.055,2.7,155.56,5525.4,6793.89,2.6,137.3277641,0.60668493,0.130349922
34,Galapagos,Santa_Cruz,Santiago_Island,0.059279482,0.012583573,0.046695908,6832.93,10025.305,1.85,53.38,1153.8,715.39,0.9,33.60765263,0,0.130349922
35,Galapagos,Fernandina_Island,Espanola_Island,0.049679797,0.023887998,0.025791799,3093.865,4091.75,1.78,228.43,5989.47,7469.9,3.44,217.5005745,0.84386302,0.330887222
36,Galapagos,Floreana_Island,Espanola_Island,0.069965836,0.031995815,0.037970021,205.645,944.935,2.9,85.38,213.03,1176.27,1.2,68.21784208,0.01767123,0.122520638
37,Galapagos,Floreana_Island,Fernandina_Island,0.040023514,0.008469403,0.031554111,3200.38,4679.885,1.18,156.8,5776.44,6293.63,2.24,138.7879404,0.86153425,0.208366584
38,Galapagos,Genovesa_Island,Espanola_Island,0.049826927,0.023637376,0.026189551,62.065,200.09,2.15,189.82,74.13,313.42,2.7,183.8852362,0.90082192,0.099362755
39,Galapagos,Genovesa_Island,Fernandina_Island,0.051889724,0.00023471,0.051655014,3056.8,3935.04,0.43,189.4,6063.6,7783.32,0.74,182.6153345,0.0569589,0.430249977
